Strategy,Cumulative Return,CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown
Time-Series,0.09027164483623928,0.006390491702158219,0.04746528932921694,0.15796743060670893,-0.1965215249389929
Cross-Sectional,0.3638635101719514,0.023136062712077132,0.09072114243235263,0.2975076341518264,-0.2668697938808673
