Signal,Strategy,Cumulative Return,CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown
3-1,Time-Series,0.18654380124735237,0.009298552162681384,0.04473933542170636,0.22925231307968127,-0.11558593801313843
3-1,Cross-Sectional,0.28050302210797096,0.013469280060262268,0.10722195036620862,0.1783606276527105,-0.22624850543462616
6-1,Time-Series,0.17770482239003038,0.008890263739713022,0.043973444684384466,0.22327709303288495,-0.1356944987188483
6-1,Cross-Sectional,0.1841326374689063,0.009187462250301204,0.10679532950048853,0.13905854424098915,-0.22800418496408026
12-1,Time-Series,0.30687774413712865,0.014587988880621516,0.043925288952246316,0.3516898480019981,-0.11947782624490833
12-1,Cross-Sectional,0.5921464791520692,0.025485970565976013,0.11014642855585317,0.2836277084234539,-0.28949372218953195
