Test Year,Selected Specification,Training Sharpe,Test Return
2013,3-1 | floor=5%,0.24071030825243783,0.1046617778611425
2014,12-1 | floor=None,0.3615546269915863,0.10343996216523998
2015,12-1 | floor=None,0.9338773451328423,0.07732687208748179
2016,12-1 | floor=None,1.008709041386893,-0.11570185069835215
2017,12-1 | floor=None,0.7731393883584191,0.057260495343733675
2018,6-1 | floor=5%,0.9139207751472255,-0.02483777823040212
2019,6-1 | floor=None,0.42924258254138165,-0.05718535868518926
2020,6-1 | floor=None,-0.07494534183634918,-0.024275296052246986
2021,3-1 | floor=10%,-0.04043528726838993,0.10714398407909154
2022,3-1 | floor=10%,0.2717196977737212,-0.007220416296440102
2023,6-1 | floor=10%,0.17324632172858961,-0.08811248932006222
2024,12-1 | floor=10%,0.12366982184743758,0.07867913893009781
2025,12-1 | floor=10%,0.29365456137062185,0.10702221437990467
2026,12-1 | floor=None,0.6292432095142028,0.034635434362891626
