,Cumulative Return,CAGR,Annualised Volatility,Sharpe Ratio,Maximum Drawdown
Time-Series Gross,0.41756228300451514,0.019061190295037722,0.04392027983490383,0.45189428897242123,-0.11577820924282933
Time-Series Net,0.30687774413712865,0.014587988880621516,0.043925288952246316,0.3516898480019981,-0.11947782624490833
Cross-Sectional Gross,0.8470384162996905,0.03375963234380008,0.1102106677428739,0.35644375866417144,-0.28541481778029565
Cross-Sectional Net,0.5921464791520692,0.025485970565976013,0.11014642855585317,0.2836277084234539,-0.28949372218953195
