Floor,Strategy,CAGR,Sharpe,Max Drawdown,Avg Max Weight,Largest Weight
No Floor,Time-Series,0.014587988880621516,0.3516898480019981,-0.11947782624490833,0.4470925436280361,0.7928223288823084
No Floor,Cross-Sectional,0.025485970565976013,0.2836277084234539,-0.28949372218953195,0.2424135322048145,0.44405182510337643
5% Floor,Time-Series,0.018496619840064232,0.3352212360974297,-0.1539481713767762,0.146310160901578,0.368006274047588
5% Floor,Cross-Sectional,0.023050812186026448,0.26131499655308005,-0.2887584840052707,0.2089033786421129,0.31518828441990104
10% Floor,Time-Series,0.020509876770262947,0.3279465531450729,-0.17543043158476535,0.09116290469126567,0.22549490736113212
10% Floor,Cross-Sectional,0.02228619045119773,0.25375823179270496,-0.2878329347416263,0.18190068777883148,0.30783807118666096
